event_id,transaction_id,event_type,event_ts,ingestion_ts,processing_ms
E001,T001,AUTH,2026-02-14 10:01:00,2026-02-14 10:01:01,80
E003,T001,SETTLEMENT,2026-02-14 10:04:00,2026-02-14 10:04:02,450
E002,T001,FRAUD,2026-02-14 10:02:00,2026-02-14 10:05:30,700
E004,T002,AUTH,2026-05-20 10:02:00,2026-05-20 10:02:02,90
E006,T002,SETTLEMENT,2026-05-20 10:06:00,2026-05-20 10:06:03,400
E005,T002,FRAUD,2026-05-20 10:03:00,2026-05-20 10:17:00,650
E010,T004,AUTH,2026-08-05 14:30:00,2026-08-05 14:30:01,60
E011,T004,FRAUD,2026-08-05 14:30:40,2026-08-05 14:30:42,250
E010,T004,AUTH,2026-08-05 14:30:00,2026-08-05 14:35:00,60
E007,T003,AUTH,2026-08-31 23:58:00,2026-08-31 23:58:02,70
E008,T003,FRAUD,2026-08-31 23:58:40,2026-08-31 23:58:42,300
E009,T003,SETTLEMENT,2026-08-31 23:59:40,2026-09-01 06:30:00,500
E012,T005,AUTH,2026-09-02 09:15:00,2026-09-02 09:15:01,75
E013,T005,FRAUD,2026-09-02 09:15:30,2026-09-02 09:15:31,220
