transaction_id,customer_id,merchant_id,account_id,transaction_ts,amount,currency,country,status,fraud_decision,risk_score
T001,C001,M100,A001,2026-02-14 10:01:00,2450.00,INR,IN,SUCCESS,APPROVE,0.21
T002,C002,M100,A002,2026-05-20 10:02:00,1899.50,INR,IN,SUCCESS,APPROVE,0.35
T003,C001,M101,A001,2026-08-31 23:58:00,5120.00,INR,IN,SUCCESS,APPROVE,0.18
T004,C003,M100,A003,2026-08-05 14:30:00,760.00,INR,IN,SUCCESS,APPROVE,0.12
T005,C004,M102,A004,2026-09-02 09:15:00,120.00,GBP,GB,SUCCESS,APPROVE,0.25
T006,C004,M102,A004,2026-09-03 18:40:00,85.50,GBP,GB,FAILED,DECLINE,0.82
T007,C005,M101,A005,2026-09-10 12:00:00,3300.00,INR,IN,SUCCESS,APPROVE,0.30
T008,C002,M100,A002,2026-09-12 16:20:00,999.00,INR,IN,REVERSED,APPROVE,0.44
T009,C003,M101,A003,2026-09-15 11:05:00,450.00,INR,IN,FAILED,DECLINE,0.91
T010,C005,M100,A005,2026-09-20 20:10:00,1500.00,INR,IN,SUCCESS,APPROVE,0.27
