settlement_id,transaction_id,settlement_ts,settlement_amount,settlement_currency,fee_amount
S001,T001,2026-02-14 10:04:00,1470.00,INR,22.05
S002,T001,2026-02-15 10:00:00,980.00,INR,14.70
S003,T002,2026-05-20 10:06:00,1899.50,INR,28.49
S004,T003,2026-08-31 23:59:40,5120.00,INR,76.80
S005,T004,2026-08-05 14:33:00,760.00,INR,11.40
S006,T005,2026-09-02 09:18:00,122.40,GBP,1.84
S007,T005,2026-09-02 15:00:00,-2.40,GBP,-0.04
S008,T007,2026-09-10 12:03:00,3300.00,INR,49.50
S009,T008,2026-09-12 16:23:00,999.00,INR,14.99
S010,T010,2026-09-20 20:13:00,1500.00,INR,22.50
